apply_order,join_priority,programmeName,normalized_domain,review_providers,why_request,approvalRate,displayUrl,slug,existing_data_dir_found,existing_scrape_doc_found,existing_scraper_script_found,existing_claim_found,scrape_action
27,request_now,Zeagoo,zeagoo.com,Judge.me,full-bust/lingerie gap,100.00,https://zeagoo.com,zeagoo_com,no,no,no,no,probe_judgeme_then_scrape
28,request_now,Lusomé,lusome.com,Judge.me,full-bust/lingerie gap,100.00,https://lusome.com/,lusome_com,no,no,no,no,probe_judgeme_then_scrape
29,request_now,EBY (US),shop.join-eby.com,Okendo,full-bust/lingerie gap,77.38,https://shop.join-eby.com/,shop_join_eby_com,no,no,no,no,scrape_with_okendo_adapter
30,request_now,PerfectDD,perfectdd.com,Judge.me,full-bust/lingerie gap,100.00,https://perfectdd.com/,perfectdd_com,no,no,no,no,probe_judgeme_then_scrape
31,request_now,Belly Bandit,bellybandit.com,Judge.me,maternity/postpartum gap,92.40,https://bellybandit.com,bellybandit_com,no,no,no,no,probe_judgeme_then_scrape
32,request_now,KING SupportWear,kingsonly.co,Judge.me,adaptive/specialty fit gap; bottoms/activewear gap,0.00,https://kingsonly.co/,kingsonly_co,no,no,no,no,probe_judgeme_then_scrape
33,request_now,PURTY BODY Affiliate Program,purtybody.com,Okendo,full-bust/lingerie gap,99.01,https://purtybody.com/,purtybody_com,no,no,no,no,scrape_with_okendo_adapter
34,request_now,Net Positive,wearnetpositive.com,Okendo,full-bust/lingerie gap,76.73,https://wearnetpositive.com/,wearnetpositive_com,no,no,no,no,scrape_with_okendo_adapter
35,request_now,A DOMANI,adomanisleep.com,Okendo,maternity/postpartum gap,100.00,https://www.adomanisleep.com/,adomanisleep_com,no,no,no,no,scrape_with_okendo_adapter
36,request_now,Rosewater Collective LLC,rosewaterhouse.com,Loox;Judge.me,maternity/postpartum gap,100.00,https://rosewaterhouse.com/,rosewaterhouse_com,no,no,no,no,scrape_with_loox_adapter
37,request_now,Pietro Brunelli US,pietrobrunelli.it,Judge.me,maternity/postpartum gap,33.33,https://www.pietrobrunelli.it/en,pietrobrunelli_it,no,no,no,no,probe_judgeme_then_scrape
38,request_now,PROCLAIM,wearproclaim.com,Stamped,full-bust/lingerie gap,0.00,https://www.wearproclaim.com/,wearproclaim_com,no,no,no,no,probe_stamped_then_scrape
39,request_now,CAKES body,cakesbody.com,Judge.me;Stamped,full-bust/lingerie gap,0.00,https://cakesbody.com,cakesbody_com,no,no,no,no,probe_judgeme_then_scrape
40,request_now,Lovability (US),lovabilityinc.com,Stamped;Yotpo,full-bust/lingerie gap,93.48,https://lovabilityinc.com/,lovabilityinc_com,no,no,no,no,probe_stamped_then_scrape
41,request_now,Snag Tights US,snagtights.us,Judge.me,full-bust/lingerie gap,76.72,https://snagtights.us/,snagtights_us,no,no,no,no,probe_judgeme_then_scrape
42,request_now,FIND ME NOW (US),findmenowthelabel.com,Loox,full-bust/lingerie gap,0.00,https://findmenowthelabel.com/,findmenowthelabel_com,no,no,no,no,scrape_with_loox_adapter
43,request_next,Helen Jon,helenjon.com,Judge.me,swim/shapewear gap,99.53,https://www.helenjon.com,helenjon_com,no,no,no,no,probe_judgeme_then_scrape
44,request_next,onewith,onewithswim.com,Okendo,swim/shapewear gap,100.00,https://onewithswim.com,onewithswim_com,no,no,no,no,scrape_with_okendo_adapter
