started_at,finished_at,domain,programme_name,provider,status,rows,errors_count,output_csv,summary_json,claim_file,error
2026-06-10T18:44:09Z,2026-06-10T18:44:16Z,findmenowthelabel.com,FIND ME NOW (US),Loox,completed,0,0,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/findmenowthelabel_com/findmenowthelabel_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/findmenowthelabel_com/findmenowthelabel_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/findmenowthelabel_com_2026-06-10_awin.claim,
2026-06-10T18:44:16Z,2026-06-10T18:44:23Z,liveaunatural.com,Au Natural,Loox,completed,0,0,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/liveaunatural_com/liveaunatural_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/liveaunatural_com/liveaunatural_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/liveaunatural_com_2026-06-10_awin.claim,
2026-06-10T18:44:23Z,2026-06-10T18:44:31Z,niidor.com,Niidor,Loox,completed,0,0,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/niidor_com/niidor_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/niidor_com/niidor_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/niidor_com_2026-06-10_awin.claim,
