started_at,finished_at,domain,programme_name,provider,status,rows,errors_count,output_csv,summary_json,claim_file,error
2026-06-10T20:33:07Z,2026-06-10T20:34:13Z,therygroup.com,TheRY,Loox;Judge.me,completed,68,2,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/therygroup_com/therygroup_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/therygroup_com/therygroup_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/therygroup_com_2026-06-10_awin.claim,
2026-06-10T20:34:13Z,2026-06-10T20:36:19Z,mysilverwind.com,SILVERWIND,Loox;Judge.me,completed,2366,0,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/mysilverwind_com/mysilverwind_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/mysilverwind_com/mysilverwind_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/mysilverwind_com_2026-06-10_awin.claim,
2026-06-10T20:36:19Z,2026-06-10T20:37:20Z,iamsunshinesociety.com,Sunshine Society (US),Loox;Judge.me,completed,14,0,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/iamsunshinesociety_com/iamsunshinesociety_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/iamsunshinesociety_com/iamsunshinesociety_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/iamsunshinesociety_com_2026-06-10_awin.claim,
2026-06-10T20:37:20Z,2026-06-10T20:38:21Z,rosewaterhouse.com,Rosewater Collective LLC,Loox;Judge.me,completed,0,0,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/rosewaterhouse_com/rosewaterhouse_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/rosewaterhouse_com/rosewaterhouse_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/rosewaterhouse_com_2026-06-10_awin.claim,
