recommended_action,final_score,programmeName,normalized_domain,review_providers,photo_signal,measurement_signal,gap_tags,primarySector,subSectors,approvalRate,epc,awinIndex,feedEnabled,productReporting,primaryRegion,displayUrl,sample_product_urls,already_in_lead_or_sovrn,existing_data_dir_found,existing_scrape_doc_found,existing_claim_found,probe_status,notes,advertiserId,base_gap_score
request_to_join_p1_scrape_likely,265.0,Dos Gardenias (US),dosgardenias.com,Okendo;Loox;Yotpo,yes,yes,bottoms_denim_active;general_womenswear,Womenswear,Clothing|Sportswear|Womenswear,100.00,4.44,75.7716,no,no,US,https://www.dosgardenias.com/,https://dosgardenias.com/products/bobbi-bottom-ss26 | https://dosgardenias.com/products/peony-bottom-ss26 | https://dosgardenias.com/products/blossom-bottom-ss26 | https://dosgardenias.com/products/dahlia-top-ss26,no,no,no,no,http_200;products_json_4,,118141,145.0
request_to_join_p1_scrape_likely,262.6,CURVEEZ,curveez.com,Judge.me,yes,yes,full_bust_lingerie;swim_shapewear;general_womenswear,Health & Beauty,Clothing|Health & Beauty,73.81,0.64,75.9563,yes,yes,US,https://curveez.com?utm_source=share-a-sale&utm_medium=affiliate&utm_campaign=text-general,https://curveez.com/products/barely-there-layering-leggings-collective | https://curveez.com/products/shape-flow-set-firm-control-cami-bodysuit | https://curveez.com/products/essential-set-cami-control-bodysuit,no,no,no,no,home_ok,,91375,135.0
request_to_join_p1_scrape_likely,261.8,Lusomé,lusome.com,Judge.me,yes,yes,full_bust_lingerie;general_womenswear,Clothing,Clothing|Health & Beauty|Home & Garden|Lingerie|Womenswear,100.00,0.34,84.9327,no,yes,US,https://lusome.com/,https://lusome.com/products/erin-nightgown-extended-sizing | https://lusome.com/products/sarah-tee-copy | https://lusome.com/products/donna-pant-extended-sizing,no,no,no,no,home_ok,,96573,150.0
request_to_join_p1_scrape_likely,260.4,Waistdear,waistdear.com,Stamped;Yotpo,yes,yes,swim_shapewear;bottoms_denim_active,Clothing,Clothing,100.00,0.27,60.1418,no,yes,US,https://www.waistdear.com/pages/rewards,https://www.waistdear.com/products/wholesale-adjustable-strap-one-piece-swimsuit-built-in-bra-tummy-control-ruched-front-slim-fit-swimwear | https://www.waistdear.com/products/wholesale-minimizing-bra-full-coverage-unlined-lace-mesh-side-support-underwire-smooth-back/ | https://www.waistdear.com/products/wholesale-full-coverage-underwire-bra-memory-foam-cup-side-support-wide-strap,no,no,no,no,home_ok,,33273,150.0
request_to_join_p1_scrape_likely,259.2,Hot Octopuss,hotoctopuss.com,Stamped,yes,yes,full_bust_lingerie;general_womenswear,Erotic,Erotic|Health & Beauty|Lingerie|Menswear|Womenswear,48.92,0.47,39.4675,yes,no,US,https://hotoctopuss.com/,https://www.hotoctopuss.com/products/rose-trim-watch-remote_enhanced-pulse-duo | https://www.hotoctopuss.com/products/melted-dreams-massage-candles | https://www.hotoctopuss.com/products/jesse-clitoral-suction-vibrator,no,no,no,no,home_ok,,58479,150.0
skip_existing_or_refresh_only,259.1,Net Positive,wearnetpositive.com,Okendo,yes,yes,full_bust_lingerie;general_womenswear,Clothing,Clothing|Health & Beauty|Lingerie|Womenswear,76.73,0.94,61.851,no,no,US,https://wearnetpositive.com/,https://wearnetpositive.com/products/thong-black | https://wearnetpositive.com/products/thong-mocha | https://wearnetpositive.com/products/organic-cotton-triangle-bra-pink,yes,yes,no,yes,home_ok,,117847,150.0
request_to_join_p1_scrape_likely,258.6,WALLIEN,wallien.com,Reviews.io,yes,yes,bottoms_denim_active;general_womenswear,Sportswear,Clothing|Sports Equipment|Sportswear|Womenswear,100.00,0.18,61.8677,yes,no,NL,https://www.wallien.com/,https://www.wallien.com/products/wrap-skirt-blue-white | https://www.wallien.com/products/wrap-skirt-brown-white | https://www.wallien.com/products/sports-dress-purple,no,no,no,no,home_ok,,83739,145.0
request_to_join_p1_scrape_likely,256.0,YIZHI FASHION HK LIMITED,bit.ly,Okendo,yes,yes,bottoms_denim_active;general_womenswear,Womenswear,Clothing|Sportswear|Womenswear,75.91,0.54,41.868,no,yes,US,https://bit.ly/3N4fU94,https://en.moco.com/products/pinstripe-halterneck-linen-vest-mbf2wai005 | https://en.moco.com/products/v-neck-strap-silk-tank-top-mbf2vet007 | https://en.moco.com/products/cropped-sleeveless-denim-top-mbf2top054,no,no,no,no,home_ok,,96909,145.0
request_to_join_p1_scrape_likely,255.6,Dippin Daisys (US),dippindaisys.com,Judge.me,yes,yes,bottoms_denim_active;general_womenswear,Womenswear,Clothing|Sportswear|Womenswear,100.00,0.28,66.8363,no,yes,US,https://dippindaisys.com,https://dippindaisys.com/products/club-ibiza-hat-ibiza | https://dippindaisys.com/products/bellini-stripe-underwire-super-cheeky-set | https://dippindaisys.com/products/seashell-bandeau-cheeky-set,no,no,no,no,home_ok,,75734,145.0
request_to_join_p1_scrape_likely,255.6,Sweat and Milk,sweatandmilk.com,Judge.me,yes,yes,maternity_postpartum;bottoms_denim_active,Clothing,Clothing,78.92,0.49,47.691,no,yes,US,https://www.sweatandmilk.com,https://sweatandmilk.com/products/chloe-4-2-pack-special | https://sweatandmilk.com/products/velea-phone-pouch | https://sweatandmilk.com/products/ultra-high-rise-postpartum-compression-biker-short-7-chambray-blue,no,no,no,no,home_ok,,93617,145.0
