started_at,finished_at,domain,programme_name,provider,status,rows,errors_count,output_csv,summary_json,claim_file,error
2026-06-10T20:23:00Z,2026-06-10T20:23:07Z,pietrobrunelli.it,Pietro Brunelli US,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/pietrobrunelli_it/pietrobrunelli_it_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/pietrobrunelli_it/pietrobrunelli_it_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/pietrobrunelli_it_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:23:07Z,2026-06-10T20:23:15Z,snagtights.us,Snag Tights US,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/snagtights_us/snagtights_us_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/snagtights_us/snagtights_us_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/snagtights_us_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:23:15Z,2026-06-10T20:23:22Z,helenjon.com,Helen Jon,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/helenjon_com/helenjon_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/helenjon_com/helenjon_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/helenjon_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:23:22Z,2026-06-10T20:23:29Z,nelleatelier.com,Nelle Atelier,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/nelleatelier_com/nelleatelier_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/nelleatelier_com/nelleatelier_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/nelleatelier_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:23:29Z,2026-06-10T20:23:37Z,shopfigandwillow.com,Fig & Willow,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/shopfigandwillow_com/shopfigandwillow_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/shopfigandwillow_com/shopfigandwillow_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/shopfigandwillow_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:23:37Z,2026-06-10T20:23:44Z,ulivarylife.com,"Ulivary Fashion Co.,Ltd",Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/ulivarylife_com/ulivarylife_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/ulivarylife_com/ulivarylife_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/ulivarylife_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:23:44Z,2026-06-10T20:23:51Z,bloomersintimates.com,Bloomers Intimates LLC,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/bloomersintimates_com/bloomersintimates_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/bloomersintimates_com/bloomersintimates_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/bloomersintimates_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:23:51Z,2026-06-10T20:23:58Z,journelle.com,AVIANAYA LLC DBA Journelle,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/journelle_com/journelle_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/journelle_com/journelle_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/journelle_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:23:58Z,2026-06-10T20:24:06Z,satingel.com,Satingel,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/satingel_com/satingel_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/satingel_com/satingel_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/satingel_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:24:06Z,2026-06-10T20:24:13Z,wearembrace.com,Embrace Essentials Pte. Limited,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/wearembrace_com/wearembrace_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/wearembrace_com/wearembrace_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/wearembrace_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:24:13Z,2026-06-10T20:24:20Z,beachbumclub.ca,Beach Bum Club,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/beachbumclub_ca/beachbumclub_ca_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/beachbumclub_ca/beachbumclub_ca_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/beachbumclub_ca_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:24:20Z,2026-06-10T20:24:28Z,duetcollection.com,duet,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/duetcollection_com/duetcollection_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/duetcollection_com/duetcollection_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/duetcollection_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:24:28Z,2026-06-10T20:24:35Z,simplewishes.com,Simple Wishes,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/simplewishes_com/simplewishes_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/simplewishes_com/simplewishes_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/simplewishes_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
2026-06-10T20:24:35Z,2026-06-10T20:24:42Z,ndapparel.com,Non Disclosure Apparel,Judge.me,no_public_product_seed,0,1,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/ndapparel_com/ndapparel_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/ndapparel_com/ndapparel_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/ndapparel_com_2026-06-10_awin.claim,No product seed URLs discovered; likely products.json/sitemap unavailable or rate-limited.
