recommended_action,final_score,programmeName,normalized_domain,review_providers,photo_signal,measurement_signal,gap_tags,primarySector,subSectors,approvalRate,epc,awinIndex,feedEnabled,productReporting,primaryRegion,displayUrl,sample_product_urls,already_in_lead_or_sovrn,existing_data_dir_found,existing_scrape_doc_found,existing_claim_found,probe_status,notes,advertiserId,base_gap_score
do_not_prioritize_now,61.3,PVCS Global,pvcsglobal.com,unknown,no,yes,general_womenswear,Clothing,Clothing,66.67,0.90,73.8678,no,yes,US,https://pvcsglobal.com,,no,no,no,no,not_probed,,111306,20.0
do_not_prioritize_now,61.3,BABEYOND,babeyond.com,unknown,no,no,,Clothing,Clothing,56.64,1.36,54.6672,yes,yes,US,https://babeyond.com,,no,no,no,no,not_probed,,98203,0.0
do_not_prioritize_now,61.2,Tiavllya,tiavllya.com,unknown,no,no,,Clothing,Clothing,100.00,0.81,60.1719,yes,yes,US,https://www.tiavllya.com/collections/suits,,no,no,no,no,not_probed,,59737,0.0
do_not_prioritize_now,61.1,Larroude,larroude.com,unknown,no,yes,general_womenswear,Shoes,Clothing Accessories|Shoes|Womenswear,55.69,5.22,74.2499,yes,yes,US,https://larroude.com,,no,no,no,no,not_probed,,78188,0.0
do_not_prioritize_now,60.8,Skullriderz,skullriderz.com,unknown,no,no,,Clothing,Clothing,100.00,0.79,0,yes,yes,US,https://skullriderz.com,,no,no,no,no,not_probed,,33623,0.0
do_not_prioritize_now,60.8,Yvette Sports Development Co Ltd,yvettesports.com,unknown,no,no,,Clothing,Clothing,100.00,0.79,61.7462,yes,yes,US,https://www.yvettesports.com/collections/christmas-day,,no,no,no,no,not_probed,,89705,0.0
do_not_prioritize_now,60.4,BLACKTIE.com,blacktie.com,unknown,no,yes,dresses_formal,Clothing,Clothing,18.97,0.58,24.5923,no,yes,US,https://blacktie.com,,no,no,no,no,not_probed,,90917,35.0
do_not_prioritize_now,60.0,Mens Tuxedo Usa,menstuxedousa.com,unknown,no,yes,dresses_formal,Clothing,Clothing,0.00,0.00,0,yes,yes,US,https://menstuxedousa.com,,no,no,no,no,not_probed,,92243,35.0
do_not_prioritize_now,60.0,Auraelis Couture- Luxury Brand,auraeliscouture.com,unknown,no,no,,Clothing,Clothing,100.00,639.52,90,yes,no,US,https://auraeliscouture.com/,,no,no,no,no,not_probed,,122920,0.0
do_not_prioritize_now,60.0,Social Studies Shop,socialstudiesshop.com,unknown,no,no,,Clothing,Clothing,100.00,0.75,87.7062,yes,yes,US,https://socialstudiesshop.com,,no,no,no,no,not_probed,,104731,0.0
do_not_prioritize_now,59.8,Kixies Inc,kixies.com,unknown,no,no,,Clothing,Clothing,100.00,0.74,57.0385,yes,yes,US,https://kixies.com,,no,no,no,no,not_probed,,93483,0.0
do_not_prioritize_now,59.6,BIGGMANS Clothing (US),biggmans.com,unknown,no,no,,Clothing,Clothing,100.00,0.73,56.4104,yes,yes,US,https://biggmans.com,,no,no,no,no,not_probed,,78046,0.0
do_not_prioritize_now,59.2,Diarrablu,diarrablu.com,unknown,no,no,,Clothing,Clothing,100.00,0.71,74.1051,yes,yes,US,https://diarrablu.com/,,no,no,no,no,not_probed,,57671,0.0
