started_at,finished_at,domain,programme_name,provider,status,rows,errors_count,output_csv,summary_json,claim_file,error
2026-06-10T20:38:27Z,2026-06-10T20:40:35Z,ucalingerie.com,ucalingerie.com,Stamped,completed,0,0,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/ucalingerie_com/ucalingerie_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/ucalingerie_com/ucalingerie_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/ucalingerie_com_2026-06-10_awin.claim,
2026-06-10T20:40:35Z,2026-06-10T20:40:50Z,wearproclaim.com,PROCLAIM,Stamped,completed,0,0,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/wearproclaim_com/wearproclaim_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/wearproclaim_com/wearproclaim_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/wearproclaim_com_2026-06-10_awin.claim,
2026-06-10T20:40:50Z,2026-06-10T20:42:02Z,swimwearworld.com,SWORLD Inc,Stamped,completed,0,0,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/swimwearworld_com/swimwearworld_com_reviews_matching_intake_schema.csv,/Users/briannasinger/Projects/FWM/FWM_Data/non-amazon/data/step_1_raw_scraping_data/swimwearworld_com/swimwearworld_com_reviews_matching_intake_schema_summary.json,/Users/briannasinger/Projects/FWM/FWM_Repo/_claims/swimwearworld_com_2026-06-10_awin.claim,
